['$GNRMC', '185303.00', 'A', '6004.25704', 'N', '03015.60437', 'E', '0.025', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '185304.00', 'A', '6004.25704', 'N', '03015.60421', 'E', '0.032', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '185305.00', 'A', '6004.25704', 'N', '03015.60419', 'E', '0.046', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '185306.00', 'A', '6004.25704', 'N', '03015.60416', 'E', '0.052', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '185307.00', 'A', '6004.25705', 'N', '03015.60414', 'E', '0.052', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185308.00', 'A', '6004.25705', 'N', '03015.60417', 'E', '0.004', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '185309.00', 'A', '6004.25705', 'N', '03015.60416', 'E', '0.031', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '185310.00', 'A', '6004.25707', 'N', '03015.60412', 'E', '0.024', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '185311.00', 'A', '6004.25709', 'N', '03015.60412', 'E', '0.065', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '185312.00', 'A', '6004.25709', 'N', '03015.60407', 'E', '0.012', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '185313.00', 'A', '6004.25715', 'N', '03015.60416', 'E', '0.067', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185314.00', 'A', '6004.25714', 'N', '03015.60410', 'E', '0.054', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185315.00', 'A', '6004.25708', 'N', '03015.60393', 'E', '0.051', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '185316.00', 'A', '6004.25702', 'N', '03015.60383', 'E', '0.065', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '185317.00', 'A', '6004.25694', 'N', '03015.60372', 'E', '0.067', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '185728.00', 'A', '6004.25887', 'N', '03015.60988', 'E', '0.016', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '185729.00', 'A', '6004.25892', 'N', '03015.60979', 'E', '0.012', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '185730.00', 'A', '6004.25895', 'N', '03015.60966', 'E', '0.048', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '185749.00', 'A', '6004.25949', 'N', '03015.60923', 'E', '0.036', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '185750.00', 'A', '6004.25952', 'N', '03015.60934', 'E', '0.029', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '185751.00', 'A', '6004.25955', 'N', '03015.60948', 'E', '0.050', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '185752.00', 'A', '6004.25959', 'N', '03015.60964', 'E', '0.059', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '185753.00', 'A', '6004.25965', 'N', '03015.60995', 'E', '0.169', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185906.00', 'A', '6004.25992', 'N', '03015.60622', 'E', '0.050', '', '250525', '', '', 'D*68\r\n']
