['$GNRMC', '113643.00', 'A', '6004.25227', 'N', '03015.64339', 'E', '0.026', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113644.00', 'A', '6004.25234', 'N', '03015.64343', 'E', '0.047', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113645.00', 'A', '6004.25240', 'N', '03015.64333', 'E', '0.019', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113646.00', 'A', '6004.25244', 'N', '03015.64335', 'E', '0.051', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113647.00', 'A', '6004.25244', 'N', '03015.64333', 'E', '0.031', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113648.00', 'A', '6004.25239', 'N', '03015.64348', 'E', '0.022', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113649.00', 'A', '6004.25234', 'N', '03015.64364', 'E', '0.015', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113650.00', 'A', '6004.25228', 'N', '03015.64361', 'E', '0.012', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113651.00', 'A', '6004.25222', 'N', '03015.64359', 'E', '0.011', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113652.00', 'A', '6004.25218', 'N', '03015.64356', 'E', '0.013', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113653.00', 'A', '6004.25214', 'N', '03015.64359', 'E', '0.017', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113654.00', 'A', '6004.25211', 'N', '03015.64372', 'E', '0.034', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113655.00', 'A', '6004.25206', 'N', '03015.64369', 'E', '0.017', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113656.00', 'A', '6004.25204', 'N', '03015.64364', 'E', '0.025', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113657.00', 'A', '6004.25201', 'N', '03015.64366', 'E', '0.021', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113658.00', 'A', '6004.25197', 'N', '03015.64379', 'E', '0.004', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113659.00', 'A', '6004.25196', 'N', '03015.64402', 'E', '0.028', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113700.00', 'A', '6004.25196', 'N', '03015.64412', 'E', '0.024', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113701.00', 'A', '6004.25198', 'N', '03015.64420', 'E', '0.020', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113702.00', 'A', '6004.25201', 'N', '03015.64431', 'E', '0.008', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113703.00', 'A', '6004.25201', 'N', '03015.64449', 'E', '0.041', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113704.00', 'A', '6004.25202', 'N', '03015.64463', 'E', '0.091', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113705.00', 'A', '6004.25203', 'N', '03015.64464', 'E', '0.021', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113706.00', 'A', '6004.25202', 'N', '03015.64465', 'E', '0.031', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113707.00', 'A', '6004.25202', 'N', '03015.64472', 'E', '0.092', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113708.00', 'A', '6004.25200', 'N', '03015.64488', 'E', '0.024', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113709.00', 'A', '6004.25197', 'N', '03015.64495', 'E', '0.043', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113710.00', 'A', '6004.25196', 'N', '03015.64488', 'E', '0.006', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113711.00', 'A', '6004.25195', 'N', '03015.64490', 'E', '0.031', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113712.00', 'A', '6004.25191', 'N', '03015.64494', 'E', '0.009', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113713.00', 'A', '6004.25192', 'N', '03015.64499', 'E', '0.036', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113714.00', 'A', '6004.25194', 'N', '03015.64510', 'E', '0.017', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113715.00', 'A', '6004.25197', 'N', '03015.64528', 'E', '0.008', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113716.00', 'A', '6004.25203', 'N', '03015.64555', 'E', '0.018', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113717.00', 'A', '6004.25210', 'N', '03015.64551', 'E', '0.015', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113718.00', 'A', '6004.25217', 'N', '03015.64564', 'E', '0.042', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113719.00', 'A', '6004.25223', 'N', '03015.64576', 'E', '0.015', '', '250525', '', '', 'D*61\r\n']
