['$GNGLL', '6004.25694', 'N', '03015.60372', 'E', '185317.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25887', 'N', '03015.60988', 'E', '185728.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25892', 'N', '03015.60979', 'E', '185729.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25895', 'N', '03015.60966', 'E', '185730.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.25949', 'N', '03015.60923', 'E', '185749.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.25952', 'N', '03015.60934', 'E', '185750.00', 'A', 'D*78\r\n']
['$GNGLL', '6004.25955', 'N', '03015.60948', 'E', '185751.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25959', 'N', '03015.60964', 'E', '185752.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.25965', 'N', '03015.60995', 'E', '185753.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.25992', 'N', '03015.60622', 'E', '185906.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.25982', 'N', '03015.60638', 'E', '185917.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.25979', 'N', '03015.60644', 'E', '185918.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.25970', 'N', '03015.60663', 'E', '185922.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25966', 'N', '03015.60665', 'E', '185923.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25962', 'N', '03015.60675', 'E', '185936.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.25977', 'N', '03015.60731', 'E', '185937.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.25982', 'N', '03015.60720', 'E', '185938.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25989', 'N', '03015.60705', 'E', '185939.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26041', 'N', '03015.60809', 'E', '185950.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.26048', 'N', '03015.60837', 'E', '185951.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26051', 'N', '03015.60865', 'E', '185952.00', 'A', 'D*78\r\n']
['$GNGLL', '6004.26054', 'N', '03015.60896', 'E', '185953.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.26054', 'N', '03015.60922', 'E', '185954.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.26055', 'N', '03015.60949', 'E', '185955.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26056', 'N', '03015.60973', 'E', '185956.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.26055', 'N', '03015.60998', 'E', '185957.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.26053', 'N', '03015.61017', 'E', '185958.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26054', 'N', '03015.61008', 'E', '185959.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26053', 'N', '03015.61031', 'E', '190000.00', 'A', 'D*78\r\n']
['$GNGLL', '6004.26050', 'N', '03015.61051', 'E', '190001.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26046', 'N', '03015.61071', 'E', '190002.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.26042', 'N', '03015.61094', 'E', '190003.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26038', 'N', '03015.61122', 'E', '190004.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.26243', 'N', '03015.64447', 'E', '190456.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26238', 'N', '03015.64451', 'E', '190457.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.26235', 'N', '03015.64458', 'E', '190458.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.26232', 'N', '03015.64465', 'E', '190459.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.26230', 'N', '03015.64473', 'E', '190500.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.26190', 'N', '03015.63391', 'E', '190733.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.26184', 'N', '03015.63348', 'E', '190734.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26177', 'N', '03015.63305', 'E', '190735.00', 'A', 'D*78\r\n']
['$GNGLL', '6004.26171', 'N', '03015.63256', 'E', '190736.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.26165', 'N', '03015.63210', 'E', '190737.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26155', 'N', '03015.63185', 'E', '190738.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.26148', 'N', '03015.63144', 'E', '190739.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.26140', 'N', '03015.63105', 'E', '190740.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26129', 'N', '03015.63085', 'E', '190741.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.26124', 'N', '03015.63037', 'E', '190742.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26120', 'N', '03015.62972', 'E', '190743.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.26114', 'N', '03015.62919', 'E', '190744.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.26109', 'N', '03015.62869', 'E', '190745.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.26104', 'N', '03015.62820', 'E', '190746.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.26099', 'N', '03015.62787', 'E', '190747.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26093', 'N', '03015.62757', 'E', '190748.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.26087', 'N', '03015.62720', 'E', '190749.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.26080', 'N', '03015.62678', 'E', '190750.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26071', 'N', '03015.62641', 'E', '190751.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.26069', 'N', '03015.62589', 'E', '190752.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26065', 'N', '03015.62538', 'E', '190753.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26062', 'N', '03015.62493', 'E', '190754.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26060', 'N', '03015.62454', 'E', '190755.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.26054', 'N', '03015.62419', 'E', '190756.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.26049', 'N', '03015.62400', 'E', '190757.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26044', 'N', '03015.62389', 'E', '190758.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.26040', 'N', '03015.62370', 'E', '190759.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.26035', 'N', '03015.62357', 'E', '190800.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.26029', 'N', '03015.62346', 'E', '190801.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.26023', 'N', '03015.62332', 'E', '190802.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.26021', 'N', '03015.62318', 'E', '190803.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.26020', 'N', '03015.62308', 'E', '190804.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.26021', 'N', '03015.62295', 'E', '190805.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.26019', 'N', '03015.62262', 'E', '190806.00', 'A', 'D*7F\r\n']
['$GNGLL', '6004.26016', 'N', '03015.62242', 'E', '190807.00', 'A', 'D*73\r\n']
['$GNGLL', '6004.26012', 'N', '03015.62209', 'E', '190808.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.26009', 'N', '03015.62177', 'E', '190809.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.26005', 'N', '03015.62156', 'E', '190810.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.26000', 'N', '03015.62145', 'E', '190811.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.25995', 'N', '03015.62131', 'E', '190812.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.25989', 'N', '03015.62117', 'E', '190813.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25981', 'N', '03015.62102', 'E', '190814.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25973', 'N', '03015.62094', 'E', '190815.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.25965', 'N', '03015.62092', 'E', '190816.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25960', 'N', '03015.62084', 'E', '190817.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.25953', 'N', '03015.62081', 'E', '190818.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.25946', 'N', '03015.62083', 'E', '190819.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.25940', 'N', '03015.62084', 'E', '190820.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.25936', 'N', '03015.62085', 'E', '190821.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.25932', 'N', '03015.62084', 'E', '190822.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.25927', 'N', '03015.62084', 'E', '190823.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25923', 'N', '03015.62082', 'E', '190824.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.25920', 'N', '03015.62068', 'E', '190825.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.25917', 'N', '03015.62053', 'E', '190826.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25913', 'N', '03015.62052', 'E', '190827.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.25915', 'N', '03015.62050', 'E', '190828.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.25915', 'N', '03015.62062', 'E', '190829.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.25917', 'N', '03015.62071', 'E', '190830.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25912', 'N', '03015.62095', 'E', '190831.00', 'A', 'D*70\r\n']
['$GNGLL', '6004.25914', 'N', '03015.62097', 'E', '190832.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.25917', 'N', '03015.62096', 'E', '190833.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.25919', 'N', '03015.62095', 'E', '190834.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25918', 'N', '03015.62070', 'E', '190835.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25917', 'N', '03015.62047', 'E', '190836.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.25916', 'N', '03015.62018', 'E', '190837.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.25916', 'N', '03015.61986', 'E', '190838.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25912', 'N', '03015.62006', 'E', '190839.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25899', 'N', '03015.62062', 'E', '190840.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.25888', 'N', '03015.62111', 'E', '190841.00', 'A', 'D*78\r\n']
['$GNGLL', '6004.25881', 'N', '03015.62143', 'E', '190842.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25874', 'N', '03015.62185', 'E', '190843.00', 'A', 'D*74\r\n']
['$GNGLL', '6004.25872', 'N', '03015.62223', 'E', '190844.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.25865', 'N', '03015.62250', 'E', '190845.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25861', 'N', '03015.62293', 'E', '190846.00', 'A', 'D*71\r\n']
['$GNGLL', '6004.25854', 'N', '03015.62339', 'E', '190847.00', 'A', 'D*77\r\n']
['$GNGLL', '6004.25850', 'N', '03015.62373', 'E', '190848.00', 'A', 'D*72\r\n']
['$GNGLL', '6004.25846', 'N', '03015.62386', 'E', '190849.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25842', 'N', '03015.62410', 'E', '190850.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.25839', 'N', '03015.62438', 'E', '190851.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.25837', 'N', '03015.62461', 'E', '190852.00', 'A', 'D*7C\r\n']
['$GNGLL', '6004.25834', 'N', '03015.62474', 'E', '190853.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.25826', 'N', '03015.62505', 'E', '190854.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25820', 'N', '03015.62532', 'E', '190855.00', 'A', 'D*7A\r\n']
['$GNGLL', '6004.25818', 'N', '03015.62541', 'E', '190856.00', 'A', 'D*76\r\n']
['$GNGLL', '6004.25813', 'N', '03015.62561', 'E', '190857.00', 'A', 'D*7E\r\n']
['$GNGLL', '6004.25808', 'N', '03015.62581', 'E', '190858.00', 'A', 'D*75\r\n']
['$GNGLL', '6004.25803', 'N', '03015.62594', 'E', '190859.00', 'A', 'D*7B\r\n']
['$GNGLL', '6004.25799', 'N', '03015.62609', 'E', '190900.00', 'A', 'D*7D\r\n']
['$GNGLL', '6004.25797', 'N', '03015.62620', 'E', '190901.00', 'A', 'D*79\r\n']
['$GNGLL', '6004.25796', 'N', '03015.62628', 'E', '190902.00', 'A', 'D*73\r\n']
